url,title,release_date,platforms,description,developers,publishers,genres,esrb
https://www.gamespot.com/games/i-am-bread-tv/,I Am Bread TV,"Dec 31, 2015","iOS (iPhone/iPad), Macintosh, Ouya, PC, PlayStation 4, Xbox One",I Am Bread tells the story of one slice of bread's epic and emotional journey as it embarks upon a quest to become toasted.,"Bossa Studios, OUYA Publishing, Just Add Water","Bossa Studios, OUYA Publishing, Ravenscourt, Intergrow, Oizumi Amuzio","Platformer, 3D, Action",Everyone 10+
https://www.gamespot.com/games/age-of-wonders-iii/,Age of Wonders III,"Mar 31, 2014","Linux, Macintosh, PC","Age of Wonders III marks a modern reimagining of the series, where you join a clash of kings, queens, and dark lords for the spoils of an ancient paradise.",Triumph Studios,Triumph Studios,"Turn-Based, Strategy",Teen
https://www.gamespot.com/games/halo-spartan-strike/,Halo: Spartan Strike,"Apr 16, 2015","iOS (iPhone/iPad), PC, Windows Mobile",Halo: Spartan Strike is a top-down shooter coming to Windows 8 devices and Steam.,"343 Industries, Vanguard Games",Microsoft Game Studios,"2D, Action, Fixed-Screen, Shooter",Teen
https://www.gamespot.com/games/dungeons-2/,Dungeons 2,"Apr 24, 2015","Linux, Macintosh, PC, PlayStation 4","In Dungeons 2, fulfil the Dark Lord’s insatiable quest for vengeance by recruiting fearsome new monsters from all corners of the underworld in order to undertake his evil bidding.",Kalypso,"Kalypso, H2 Interactive Co., Ltd.",Strategy,Teen
https://www.gamespot.com/games/harold/,Harold,"Feb 12, 2015","PC, PlayStation 3, Xbox 360",Harold is a single-player side-scrolling platformer with an emphasis on the high-quality hand-drawn style of classic animated films.,Moon Spider Studio,Moon Spider Studio,"2D, Action, Platformer",Rating Pending
https://www.gamespot.com/games/voidexpanse/,VoidExpanse,"Apr 2, 2015","Linux, Macintosh, PC","VoidExpanse is a science fiction, top-down action role-playing game set in outer space.",AtomicTorch,AtomicTorch,"Action, Role-Playing",
https://www.gamespot.com/games/affordable-space-adventures/,Affordable Space Adventures,"Apr 9, 2015",Wii U,"Affordable Space Adventures is a 2D side scrolling spaceship simulator. You are using the GamePad as a “Heads Down Display” – spaceship cockpit, and you have to configure all the systems in order to fly around undetected on an alien planet. You can either play it alone, or fly as a crew of 2 or 3 players, requiring a lot of communication between the players.",KnapNok Games,"KnapNok Games, Rainy Frog","Action, 2D, Shoot-'Em-Up",Everyone
https://www.gamespot.com/games/assassins-creed-chronicles-china/,Assassin's Creed Chronicles: China,"Apr 21, 2015","PC, PlayStation 4, Xbox One",Assassin's Creed Chronicles: China is a new 2.5D sidescrolling entry in the series that see the the final remaining Assassin in the Chinese Brotherhood out for vengeance in Beijing.,Climax Group,Ubisoft,"Action, Adventure",Teen
https://www.gamespot.com/games/slow-down-bull/,"Slow Down, Bull","Apr 20, 2015","Linux, Macintosh, PC","Slow Down, Bull is an action collecting game. Steer Esteban, a stressed-out overachieving bull, to collect as many crafty pieces as you can, but be careful! Every time you steer him, he gets a little more stressed out, and you DON'T want to stress him out!",Insomniac Games,Insomniac Games,Action,
https://www.gamespot.com/games/the-charnel-house-trilogy/,The Charnel House Trilogy,"Apr 16, 2015",PC,,Owl Cave,Mastertronic,Adventure,
