title,reviewer,current_review_url,info_url
Dark Age of Camelot: Trials of Atlantis Review,Greg Kasavin,https://www.gamespot.com/reviews/dark-age-of-camelot-trials-of-atlantis-review/1900-6086027/,https://www.gamespot.com/games/dark-age-of-camelot/
Patrician III Review,Sam Parker,https://www.gamespot.com/reviews/patrician-iii-review/1900-6086007/,https://www.gamespot.com/games/patrician-iii-rise-of-the-hanse/
One Must Fall: Battlegrounds Review,Jeff Gerstmann,https://www.gamespot.com/reviews/one-must-fall-battlegrounds-review/1900-6086009/,https://www.gamespot.com/games/one-must-fall-battlegrounds/
You Don't Know Jack 6: The Lost Gold Review,Andrew Park,https://www.gamespot.com/reviews/you-dont-know-jack-6-the-lost-gold-review/1900-6086004/,https://www.gamespot.com/games/you-dont-know-jack-6-the-lost-gold/
X2: The Threat Review,Desslock,https://www.gamespot.com/reviews/x2-the-threat-review/1900-6086003/,https://www.gamespot.com/games/x2-the-threat/
Harry Potter and the Sorcerer's Stone Review,Ricardo Torres,https://www.gamespot.com/reviews/harry-potter-and-the-sorcerers-stone-review/1900-6086011/,https://www.gamespot.com/games/harry-potter-and-the-sorcerers-stone/
Harry Potter and the Sorcerer's Stone Review,Ricardo Torres,https://www.gamespot.com/reviews/harry-potter-and-the-sorcerers-stone-review/1900-6086012/,https://www.gamespot.com/games/harry-potter-and-the-sorcerers-stone/
Harry Potter and the Sorcerer's Stone Review,Ricardo Torres,https://www.gamespot.com/reviews/harry-potter-and-the-sorcerers-stone-review/1900-6086013/,https://www.gamespot.com/games/harry-potter-and-the-sorcerers-stone/
Western Outlaw: Wanted Dead or Alive Review,Bob Colayco,https://www.gamespot.com/reviews/western-outlaw-wanted-dead-or-alive-review/1900-6086006/,https://www.gamespot.com/games/western-outlaw-wanted-dead-or-alive/
Gladiator: Sword of Vengeance Review,Alex Navarro,https://www.gamespot.com/reviews/gladiator-sword-of-vengeance-review/1900-6086005/,https://www.gamespot.com/games/gladiator-sword-of-vengeance/
Curse: The Eye of Isis Review,Brett Todd,https://www.gamespot.com/reviews/curse-the-eye-of-isis-review/1900-6086002/,https://www.gamespot.com/games/curse-the-eye-of-isis/
Star Chamber Review,Bruce Grey,https://www.gamespot.com/reviews/star-chamber-review/1900-6085947/,https://www.gamespot.com/games/star-chamber/
Monster 4x4: Masters of Metal Review,Jeff Gerstmann,https://www.gamespot.com/reviews/monster-4x4-masters-of-metal-review/1900-6085986/,https://www.gamespot.com/games/monster-4x4-masters-of-metal/
Max Payne Review,Jeff Gerstmann,https://www.gamespot.com/reviews/max-payne-review/1900-6085966/,https://www.gamespot.com/games/max-payne/
RC Cars Review,Alex Navarro,https://www.gamespot.com/reviews/rc-cars-review/1900-6085976/,https://www.gamespot.com/games/rc-cars/
Harry Potter: Quidditch World Cup Review,Frank Provo,https://www.gamespot.com/reviews/harry-potter-quidditch-world-cup-review/1900-6085965/,https://www.gamespot.com/games/harry-potter-quidditch-world-cup/
Legacy of Kain: Defiance Review,Greg Kasavin,https://www.gamespot.com/reviews/legacy-of-kain-defiance-review/1900-6085962/,https://www.gamespot.com/games/legacy-of-kain-defiance/
"Crouching Tiger, Hidden Dragon Review",Alex Navarro,https://www.gamespot.com/reviews/crouching-tiger-hidden-dragon-review/1900-6085964/,https://www.gamespot.com/games/crouching-tiger-hidden-dragon/
EverQuest Online Adventures: Frontiers Review,Greg Kasavin,https://www.gamespot.com/reviews/everquest-online-adventures-frontiers-review/1900-6085922/,https://www.gamespot.com/games/everquest-online-adventures-frontiers/
Airborne Assault: Highway to the Reich Review,Jason Ocampo,https://www.gamespot.com/reviews/airborne-assault-highway-to-the-reich-review/1900-6085927/,https://www.gamespot.com/games/airborne-assault-highway-to-the-reich/
Dragon Ball Z: Taiketsu Review,Ryan Davis,https://www.gamespot.com/reviews/dragon-ball-z-taiketsu-review/1900-6085911/,https://www.gamespot.com/games/dragon-ball-z-taiketsu/
