title,platform,datetime,critic_score,critic_score_text,url,comments,upvotes,img
Soundfall Review - Not Quite My Tempo,PC,2022-05-27 15:39:00,5,Mediocre,https://www.gamespot.com/reviews/soundfall-review-not-quite-my-tempo/1900-6417887/,0,2,https://www.gamespot.com/a/uploads/screen_petite/43/434805/3982898-8068884117-Sound.jpg
Apex Legends Mobile Review - Pocket-Sized Royale,AND,2022-05-26 19:08:00,7,Good,https://www.gamespot.com/reviews/apex-legends-mobile-review-pocket-sized-royale/1900-6417885/,3,4,https://www.gamespot.com/a/uploads/screen_petite/1587/15875866/3981835-2022-05-25%288%29.png
Hatsune Miku Project Diva Megamix+ Review - The Most Miku,PC,2022-05-26 13:33:00,8,Great,https://www.gamespot.com/reviews/hatsune-miku-project-diva-megamix-review-the-most-miku/1900-6417886/,1,4,https://www.gamespot.com/a/uploads/screen_petite/43/434805/3982216-02-musicvideo.jpg
Sniper Elite 5 Review - Longer-Range,PC,2022-05-26 08:00:00,8,Great,https://www.gamespot.com/reviews/sniper-elite-5-review-longer-range/1900-6417884/,26,7,https://www.gamespot.com/a/uploads/screen_petite/43/434805/3981245-1.jpg
Evil Dead: The Game Review - Somewhat Groovy,XBSX,2022-05-20 14:09:00,6,Fair,https://www.gamespot.com/reviews/evil-dead-the-game-review-somewhat-groovy/1900-6417881/,32,6,https://www.gamespot.com/a/uploads/screen_petite/1632/16320660/3979617-evildead_thegame_keyart.jpg
Vampire The Masquerade: Swansong Review - That Sinking Feeling,PC,2022-05-20 12:27:00,4,Poor,https://www.gamespot.com/reviews/vampire-the-masquerade-swansong-review-that-sinking-feeling/1900-6417882/,38,4,https://www.gamespot.com/a/uploads/screen_petite/43/434805/3980161-promo.jpg
Salt And Sacrifice Review - Mage Hunter,PC,2022-05-16 13:35:00,7,Good,https://www.gamespot.com/reviews/salt-and-sacrifice-review-mage-hunter/1900-6417879/,17,3,https://www.gamespot.com/a/uploads/screen_petite/43/434805/3977953-saltandsacrificekeyart.jpeg
Eiyuden Chronicle: Rising Review - Humble Beginnings,"PC, NS",2022-05-12 13:50:00,7,Good,https://www.gamespot.com/reviews/eiyuden-chronicle-rising-review-humble-beginnings/1900-6417878/,10,3,https://www.gamespot.com/a/uploads/screen_petite/43/434805/3976699-promoeiyuden.jpg
Trek To Yomi Review - One Samurai,PC,2022-05-06 08:05:00,5,Mediocre,https://www.gamespot.com/reviews/trek-to-yomi-review-one-samurai/1900-6417874/,25,3,https://www.gamespot.com/a/uploads/screen_petite/43/434805/3973234-promo.jpg
RiffTrax: The Game Review - Dumb Jokes Reign Supreme,PC,2022-05-05 12:48:00,7,Good,https://www.gamespot.com/reviews/rifftrax-the-game-review-dumb-jokes-reign-supreme/1900-6417875/,0,4,https://www.gamespot.com/a/uploads/screen_petite/43/434805/3973854-rifftraxthegame_couch.jpg
"Gotta Protectors: Cart of Darkness - Let's Protectorize, Guys!",NS,2022-05-03 11:16:00,8,Great,https://www.gamespot.com/reviews/gotta-protectors-cart-of-darkness-lets-protectorize-guys/1900-6417873/,2,3,https://www.gamespot.com/a/uploads/screen_petite/43/434805/3972312-5887145971-xpZJw.jpg
Teardown Review - Came In Like A Wrecking Ball,PC,2022-04-28 14:40:00,7,Good,https://www.gamespot.com/reviews/teardown-review-came-in-like-a-wrecking-ball/1900-6417871/,2,4,https://www.gamespot.com/a/uploads/screen_petite/43/434805/3970653-9772831297-ss_9f.jpg
Rogue Legacy 2 Review - Grand Lineage,PC,2022-04-28 08:24:00,9,Superb,https://www.gamespot.com/reviews/rogue-legacy-2-review-grand-lineage/1900-6417870/,27,6,https://www.gamespot.com/a/uploads/screen_petite/43/434805/3969947-4331977303-Eh5mcZ7XsAEzRrU.jpg
Bugsnax: The Isle of Bigsnax Review - Secret Menu,XBSX,2022-04-27 12:01:00,7,Good,https://www.gamespot.com/reviews/bugsnax-the-isle-of-bigsnax-review-secret-menu/1900-6417869/,2,2,https://www.gamespot.com/a/uploads/screen_petite/43/434805/3969883-8111255004-51634.jpg
